City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Saint George,US,66.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
140,San Rafael Del Sur,NI,86.0,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
142,Kavaratti,IN,83.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
143,Luis Correia,BR,78.44,overcast clouds,-2.8792,-41.6669,Hotel Amarração
153,Aragarcas,BR,73.4,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
157,Camana,PE,67.51,broken clouds,-16.6228,-72.7111,Hostal Morales
158,Dawei,MM,86.9,light rain,14.0833,98.2,Hotel Dawei
160,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
170,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
171,Bengkulu,ID,83.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Tondano,ID,87.8,few clouds,1.3038,124.9112,Villa Bella
174,Alugan,PH,81.82,overcast clouds,12.2188,125.4808,JM Lodge
183,Bowen,AU,80.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
184,Joao Pinheiro,BR,67.84,overcast clouds,-17.7425,-46.1725,Hotel Santos
189,Fare,PF,82.27,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
192,Meulaboh,ID,83.44,broken clouds,4.1363,96.1285,Kost Pria
199,Kindu,CD,67.28,overcast clouds,-2.95,25.95,Résidence Okanda
203,Bonthe,SL,78.57,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
207,Saldanha,ZA,68.0,broken clouds,-33.0117,17.9442,Blue Bay Lodge
208,Kango,GA,72.43,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
209,Chanika,TZ,66.65,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
213,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
214,Okitipupa,NG,76.91,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
216,Belmonte,BR,71.6,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
217,Vanimo,PG,84.78,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
218,Qixingtai,CN,66.63,broken clouds,30.4135,111.8874,Sunny Hotel
220,Cayenne,GF,82.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
221,Mandera,KE,81.46,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
224,Alice Springs,AU,78.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
228,Victoria,HK,72.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
229,Inhambane,MZ,70.97,clear sky,-23.865,35.3833,Oceano
239,Red Bluff,US,71.6,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
243,Bull Savanna,JM,71.85,scattered clouds,17.8868,-77.5902,Big Red's
245,Pochutla,MX,81.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
248,Aripuana,BR,72.88,overcast clouds,-9.1667,-60.6333,
250,Mwense,ZM,65.05,overcast clouds,-10.3845,28.698,Mwense Council Guest House
252,Vaniyambadi,IN,76.73,moderate rain,12.6833,78.6167,Ahmedia Hotel™️ Since 1975
255,Hithadhoo,MV,82.09,scattered clouds,-0.6,73.0833,Scoop Guest House
256,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
257,Iberia,US,68.0,overcast clouds,29.9502,-91.7507,back to back rv park
259,Ngunguru,NZ,72.0,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
260,Mattru,SL,74.43,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
261,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
262,Samana,DO,72.41,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
265,Nago,JP,73.4,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
266,Ferkessedougou,CI,77.9,broken clouds,9.6,-5.2,Hotel Chateau
269,San Cristobal,VE,78.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
273,Padang,ID,82.69,broken clouds,-0.9492,100.3543,Mercure Padang
276,Atambua,ID,81.43,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
277,Jacareacanga,BR,74.48,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
278,Sawakin,SD,73.83,broken clouds,19.1059,37.3321,فندق الدويم
279,Ha Giang,VN,77.29,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
281,Mayumba,GA,78.1,overcast clouds,-3.432,10.6554,LIKWALE LODGE
283,Richards Bay,ZA,71.31,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
284,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
285,Bundaberg,AU,78.8,clear sky,-24.85,152.35,Takalvan Motel
287,Airai,TL,72.37,broken clouds,-8.9266,125.4092,Juvinal Martin
289,Vila Velha,BR,73.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
292,Esperance,AU,66.2,broken clouds,-33.8667,121.9,Hospitality Esperance
293,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
294,Cartagena,CO,82.4,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
297,Sao Joao Da Barra,BR,69.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
301,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
302,Banjarmasin,ID,82.4,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
309,Araouane,ML,84.04,clear sky,18.9048,-3.5265,
310,Mogadishu,SO,81.64,overcast clouds,2.0371,45.3438,Olympic Hotel
311,Uaua,BR,70.45,scattered clouds,-9.8414,-39.4817,Hotel Uauá
313,Arraial Do Cabo,BR,73.69,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
315,Fuerte Olimpo,PY,79.97,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
318,Iquitos,PE,77.0,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
319,Batemans Bay,AU,70.0,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
320,Sur,OM,85.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
324,Samarai,PG,78.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
328,Araguacu,BR,73.44,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
329,Alyangula,AU,87.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
330,Bubaque,GW,77.38,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
331,Adrar,MR,72.75,few clouds,20.5022,-10.0711,
333,Passos,BR,66.09,broken clouds,-20.7189,-46.6097,AL
336,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
337,Gola Gokarannath,IN,89.98,overcast clouds,28.0833,80.4667,Vikas Home
339,Prado,BR,71.98,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
340,Bensonville,LR,76.17,broken clouds,6.4461,-10.6125,
341,Galle,LK,82.72,overcast clouds,6.0367,80.217,Amangalla
344,Sungairaya,ID,87.24,broken clouds,0.7,108.9,Mess P.Milu
346,Celestun,MX,79.72,broken clouds,20.8667,-90.4,Posada Lilia
347,Rosario,AR,66.0,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
351,Jizan,SA,82.4,few clouds,17.3333,42.6667,شهدان. ابوالحجر
358,Qui Nhon,VN,82.76,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
363,Victoria Point,AU,77.0,few clouds,-27.5833,153.3,Bay Retreat Motel
367,Axim,GH,79.61,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
368,Sao Felix Do Xingu,BR,72.16,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
370,Laguna,US,68.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
371,Narrabri,AU,80.6,overcast clouds,-30.3167,149.7833,Crossroads Hotel
372,Grand Baie,MU,75.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
376,Gamba,GA,74.75,overcast clouds,-2.65,10.0,
377,El Retorno,CO,71.26,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
384,Santo Tomas,PH,89.01,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
389,Kieta,PG,82.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
390,Salto,UY,68.0,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
395,Port Hedland,AU,86.0,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
398,Kalmunai,LK,82.56,overcast clouds,7.4167,81.8167,VS Villa
399,Envira,BR,72.18,overcast clouds,-7.3,-70.2167,
401,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
402,Conakry,GN,77.97,light rain,9.538,-13.6773,Riviera Royal Hotel
404,Flinders,AU,77.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
405,Maraa,BR,72.28,overcast clouds,-1.8333,-65.3667,
408,Panzhihua,CN,70.0,clear sky,26.5851,101.7128,Electric Power Hotel
410,Dongying,CN,67.46,broken clouds,37.4564,118.4856,Wanda Realm
411,Baherden,TM,66.02,broken clouds,38.4362,57.4316,
413,Saint-Leu,RE,75.2,clear sky,-21.15,55.2833,La Caz Oceane
414,Mangan,IN,79.41,few clouds,27.5167,88.5333,Hotel Mout View
418,Port-Gentil,GA,81.01,overcast clouds,-0.7193,8.7815,Fengshui Residence
420,Umm Lajj,SA,72.73,clear sky,25.0213,37.2685,Moon light Furnished Units
421,Moron,AR,69.01,clear sky,-34.6534,-58.6198,Hotel Morón
422,Tocopilla,CL,67.08,clear sky,-22.092,-70.1979,Hotel Galvarino
423,Cangzhou,CN,69.96,few clouds,38.3167,116.8667,Jinji Express Hotel
425,Mecca,SA,75.54,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
428,Sena Madureira,BR,74.08,overcast clouds,-9.0656,-68.6569,Hotel Central
430,Nabire,ID,88.43,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
432,Acajutla,SV,75.0,overcast clouds,13.5928,-89.8275,asi es
433,Naze,JP,69.8,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
434,Akot,IN,84.11,clear sky,21.0964,77.0586,Shiv Place
436,Khonsa,IN,82.74,overcast clouds,27.0167,95.5667,
437,Bardiyah,LY,65.35,clear sky,31.7561,25.0865,بورتو بردية
438,Neiafu,TO,82.4,scattered clouds,-18.65,-173.9833,Mystic Sands
440,Port Macquarie,AU,81.0,few clouds,-31.4333,152.9167,Rydges Port Macquarie
444,Atar,MR,74.68,overcast clouds,20.5169,-13.0499,Oumou Elghoura
446,Arrecife,ES,68.0,scattered clouds,28.963,-13.5477,Hotel Lancelot
447,Cockburn Town,TC,74.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
448,Liyang,CN,66.99,overcast clouds,29.7057,118.2862,Hui Boutique Hotel
449,Lodja,CD,66.42,overcast clouds,-3.4833,23.4333,
451,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
452,Nioro,GM,76.24,clear sky,13.35,-15.75,
461,San Felipe,VE,75.33,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
462,Jishou,CN,65.95,overcast clouds,28.3167,109.7167,7Days Inn Jishou Railway Station
467,Toowoomba,AU,75.2,clear sky,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
471,Port Blair,IN,85.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
474,Barreirinhas,BR,75.92,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
478,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
479,Chabahar,IR,80.96,scattered clouds,25.2919,60.643,هتل گدروشیا
485,Safaga,EG,66.2,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
486,Nouadhibou,MR,66.2,scattered clouds,20.930999999999997,-17.0347,El Medina
488,Sao Jose Da Coroa Grande,BR,76.5,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
490,Port Augusta,AU,68.0,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
491,Skeldon,GY,75.87,overcast clouds,5.8833,-57.1333,Rits Hotel
493,Daitari,IN,88.79,overcast clouds,21.1,85.75,
494,La Macarena,CO,70.48,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
497,Humberto De Campos,BR,76.39,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
499,Hualmay,PE,66.56,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
500,Jalgaon,IN,85.42,clear sky,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
502,Bac Lieu,VN,87.24,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
504,Nelson Bay,AU,77.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
507,Aborlan,PH,80.6,moderate rain,9.4352,118.5492,Kevina Transient House
508,Remedios,CU,71.6,light rain,22.4947,-79.5458,Hostal Yunai
509,Tanout,NE,78.03,clear sky,14.9709,8.8879,
511,Talara,PE,70.09,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
513,Lorengau,PG,83.98,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
516,Perth,AU,73.99,few clouds,-31.9333,115.8333,Beatty Lodge
518,Thinadhoo,MV,81.97,few clouds,0.5333,72.9333,
520,Massakory,TD,80.19,clear sky,12.995999999999999,15.7293,
522,Foumban,CM,65.64,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
524,Bitkine,TD,80.37,scattered clouds,11.9801,18.2138,
525,Kottayam,IN,82.4,haze,9.5833,76.5167,Hotel Anjali Park
533,Puerto Madryn,AR,68.04,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
534,Whyalla,AU,68.0,scattered clouds,-33.0333,137.5833,Foreshore Motor Inn
537,Dicabisagan,PH,85.46,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
539,Trinidad,BO,73.51,scattered clouds,-14.8333,-64.9,Hotel Piesta
544,Labrea,BR,73.47,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
545,Amahai,ID,85.21,broken clouds,-3.3333,128.9167,HOTEL ISABELA
548,Maumere,ID,84.65,broken clouds,-8.6199,122.2111,Sylvia Hotel
549,Camocim,BR,76.19,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
550,Iracoubo,GF,78.01,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
552,Buala,SB,84.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
553,Valdez,EC,78.4,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
555,Wucheng,CN,66.99,overcast clouds,29.6008,118.175,Xiuwu Restaurant
560,Muisne,EC,76.53,overcast clouds,0.6,-80.0333,Quinta Samay
561,Vaitape,PF,82.18,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
563,Puerto Del Rosario,ES,68.0,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
565,Imbituba,BR,66.2,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
